pbIndex,pb1,pb2,
001002,-0.06665605,-0.68572509,
001005,-0.24123897,-0.29463649,
001007,0.08285365,-0.01845519,
001008,-0.09813032,-0.43660322,
010000,0.05920832,0.51340401,
010001,0.20303321,-0.07575539,
010002,0.15911877,0.06100814,
010003,0.24936305,-0.35007790,
010004,-0.11774457,-0.16236372,
010005,-0.08426804,-0.22668026,
010006,0.20020992,0.24324846,
010007,-0.08131456,-0.05324571,
010008,0.05525042,-0.03771757,
010009,0.11593688,0.19928725,
010010,0.44333714,0.18250887,
010011,-0.02708887,0.35252011,
010012,-0.06171523,-0.16573456,
010013,0.71507251,-0.55103010,
010014,0.60438883,-0.76487148,
010015,-1.17318571,-0.38351679,
010016,0.06620786,-0.07775527,
010017,0.26450863,0.00822241,
010018,0.06631818,-0.42058411,
010019,0.07406241,0.10742816,
010020,-0.51295149,0.04582886,
010021,-0.61947995,-0.00928092,
010022,0.14226711,-0.14841309,
010023,-0.53210181,-0.51269436,
010024,-0.63126910,-0.34926829,
010025,0.32377824,-0.26963389,
010026,0.22011353,-0.26695985,
010027,0.11559293,-0.56125158,
010028,-0.01532751,-0.25296664,
010029,0.53927183,0.14071739,
010030,0.11833351,-0.17915416,
010031,-0.00076405,-0.85439008,
010032,0.60972112,-0.00953137,
010033,-0.08216995,-0.01455347,
010034,0.02099656,-0.88109320,
010035,0.09257998,-0.06771269,
010036,0.27057460,-0.40207505,
010037,0.98851651,-0.56295812,
010038,0.43630996,0.22993299,
010039,0.07498640,-0.44716948,
010040,0.02894663,-0.43150792,
010041,0.02092950,-0.69242257,
010042,0.82953018,0.01542477,
010043,0.44265503,-0.18947108,
010044,0.04003911,-0.62286824,
010045,0.28252825,-0.15031165,
010046,0.14112645,-0.59398890,
010047,-0.20187847,0.30471665,
010048,-0.12740751,-0.63763773,
010049,0.23222618,-0.30322260,
010050,0.27858061,-0.18149216,
010051,0.36859730,-0.22149310,
010052,0.23485188,-0.35710496,
010053,0.04109057,-0.32003748,
010054,-0.13249308,0.22609594,
010055,-0.16960813,-0.76751703,
010056,0.39524049,-0.20572005,
010057,-0.48597401,0.24551013,
010058,-0.30148610,0.08950607,
010059,0.18976581,-0.19101620,
010060,-0.22932419,-0.26766586,
010061,-0.07208771,0.14821817,
010063,0.08836585,-0.31577587,
010064,0.04031164,-0.49759898,
010065,0.14614487,-0.69144917,
010066,0.44689319,0.38001475,
010067,-0.40060723,0.34949443,
010068,-0.55149198,-0.08375145,
010069,-0.11993977,-0.21998917,
010070,-0.09406562,-0.51014823,
010071,0.12230749,0.07081702,
010072,-0.05678831,-0.20594999,
010073,-0.01932988,0.02591706,
010074,0.08991998,0.33268994,
010075,0.14379086,-0.09378391,
010076,-0.03757983,-0.14034191,
010077,0.14349638,-0.63658643,
010078,0.20965531,0.10610986,
010079,-0.09004494,-0.59698230,
010080,-0.08628170,-0.64688188,
010081,0.67857760,0.09512974,
010082,-0.12861551,-0.29462951,
010083,0.29765710,-0.00418728,
010084,-0.42234024,-0.31554365,
010085,-0.19292939,-0.20296246,
010086,0.38752767,-0.22253761,
010087,-0.28184822,-0.60540712,
010088,0.29335126,0.16486114,
010089,0.34951958,0.01376238,
010090,0.14894062,-0.17223632,
010092,0.11627883,-0.11496479,
010093,-0.07873294,-0.41258249,
010094,-0.08755274,0.07840875,
010095,-0.20885462,0.40065441,
010096,0.11378252,-0.33498770,
010097,-0.30726227,-0.36755872,
010098,-0.18126178,-0.08325010,
010099,0.37353021,0.02009686,
010100,-0.37089515,-0.41571221,
010101,-0.20318300,0.03959548,
010102,0.14838077,-0.14186683,
010103,-0.09840311,-0.06321683,
010104,0.59810370,-0.01986551,
010105,0.25754023,-0.03409575,
010106,0.11473838,0.03150341,
010107,0.06066264,0.02225293,
010108,0.51137620,-0.08336236,
010109,0.59893113,-0.12115577,
010110,0.70471460,0.39162362,
010111,-0.25435022,0.32062653,
010112,-0.60542279,-0.56223565,
